,Case_Number,Case_NumberAlt,Reported_Date,Occurred_Date,NIBRS_Crime_Against,Offense_Category,Offense,Problem_Initial,Problem_Final,Address,Precinct,Neighborhood,Latitude,Longitude,Date_Occurred,Time_Occurred,Date_Reported,Time_Reported
82687,19-312793,MP2019312793,2019-10-16 13:29:00+00:00,2019-10-16 12:41:00+00:00,Property ,Robbery ,Robbery ,Robbery Dwlng/Person Rpt (P),Robbery Dwlng/Person Rpt (P),0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2019-10-16,12:41:00,2019-10-16,13:29:00
82704,20-139360,MP2020139360,2020-05-24 15:24:00+00:00,2020-05-23 21:00:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,Burglary Dwlng - Report (P),Burglary Dwlng - Report (P),0041XX 28TH AVE S,3.0,Standish,44.92779,-93.23212,2020-05-23,21:00:00,2020-05-24,15:24:00
82757,20-056287,MP202056287,2020-03-02 12:39:00+00:00,2020-03-02 12:39:00+00:00,Society ,Weapon Law Violations ,Weapon Law Violations ,Sound of Shots Fired (P),Sound of Shots Fired (P),0036XX 27TH AVE S,3.0,Standish,44.93682,-93.23339,2020-03-02,12:39:00,2020-03-02,12:39:00
83024,22-711636,MP2022711636,2022-10-06 15:16:00+00:00,2022-10-06 00:10:00+00:00,Property ,Burglary/Breaking & Entering ,Burglary/Breaking & Entering ,,,0041XX STANDISH AVE,3.0,Standish,44.92781,-93.23973,2022-10-06,00:10:00,2022-10-06,15:16:00
83223,19-219731,MP2019219731,2019-07-24 17:10:00+00:00,2019-05-06 12:00:00+00:00,Property ,Embezzlement ,Embezzlement ,Domestic Abuse Report Only (P),Domestic Abuse Report Only (P),0037XX 25TH AVE S,3.0,Standish,44.93501,-93.23592,2019-05-06,12:00:00,2019-07-24,17:10:00
83458,20-283221,MP2020283221,2020-11-06 20:03:00+00:00,2020-11-06 15:00:00+00:00,Property ,Larceny/Theft Offenses ,Theft From Motor Vehicle ,Theft - Report Only (P),Theft - Report Only (P),0040XX 28TH AVE S,3.0,Standish,44.9296,-93.23211,2020-11-06,15:00:00,2020-11-06,20:03:00
83507,20-039592,MP202039592,2020-02-13 06:07:00+00:00,2020-02-13 05:58:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft in Progress (P),Auto Theft in Progress (P),0042XX 28TH AVE S,3.0,Standish,44.92599,-93.23213,2020-02-13,05:58:00,2020-02-13,06:07:00
83536,21-702279,MP2021702279,2021-04-07 13:04:00+00:00,2021-04-06 19:50:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,,,0040XX 19TH AVE S,3.0,Standish,44.92962,-93.2448,2021-04-06,19:50:00,2021-04-07,13:04:00
83540,19-219118,MP2019219118,2019-07-25 07:05:00+00:00,2019-07-24 18:30:00+00:00,Property ,Motor Vehicle Theft ,Motor Vehicle Theft ,Auto Theft (P),Auto Theft (P),0039XX 21ST AVE S,3.0,Standish,44.93141,-93.24226,2019-07-24,18:30:00,2019-07-25,07:05:00
83558,19-702404,MP2019702404,2019-05-09 18:06:00+00:00,2019-04-22 09:00:00+00:00,Property ,Destruction/Damage/Vandalism of Property ,Destruction/Damage/Vandalism of Property ,,,0040XX 19TH AVE S,3.0,Standish,44.92962,-93.2448,2019-04-22,09:00:00,2019-05-09,18:06:00
